transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,amount_usd,high_value_flag,high_risk_flag
T001,01-03-2026,Alpha Mart,420000,INR,captured,62,APAC,U001,UPI,4998,0,0
T002,01-03-2026,Alpha Mart,210000,INR,captured,55,APAC,U002,Card,2499,0,0
T003,01-03-2026,Beta Stores,510000,INR,captured,71,APAC,U003,NetBanking,6069,1,1
T004,02-03-2026,Beta Stores,160000,INR,failed,68,APAC,U004,Card,1920,0,0
T005,02-03-2026,Alpha Mart,390000,INR,captured,58,APAC,U001,UPI,4680,0,0
T006,02-03-2026,Beta Stores,275000,INR,captured,64,APAC,U005,Wallet,3300,0,0
T007,02-03-2026,Alpha Mart,450000,INR,chargeback,83,APAC,U006,Card,5400,1,1
T008,03-03-2026,Beta Stores,340000,INR,captured,59,APAC,U007,UPI,4114,0,0
T009,03-03-2026,Alpha Mart,125000,INR,captured,46,APAC,U002,Wallet,1512.5,0,0
T010,03-03-2026,Beta Stores,610000,INR,captured,77,APAC,U003,Card,7381,1,1
T011,03-03-2026,Alpha Mart,195000,INR, timeout,5,APAC,U008,UPI,2359.5,0,0
T012,04-03-2026,Beta Stores,250000,INR,captured,61,APAC,U009,Card,3000,0,0
T013,04-03-2026,Alpha Mart,310000,INR,captured,54,APAC,U010,UPI,3720,0,0
T014,04-03-2026,Beta Stores,470000,INR,captured,73,APAC,U001,NetBanking,5640,1,1
T015,04-03-2026,Alpha Mart,130000,INR,captured,52,APAC,U002,Card,1560,0,0
T016,05-03-2026,Beta Stores,220000,INR,failed,69,APAC,U008,Card,2596,0,0
T017,05-03-2026,Beta Stores,180000,INR,failed,72,APAC,U008,Card,2124,0,1
T018,05-03-2026,Beta Stores,145000,INR,chargeback,86,APAC,U008,UPI,1711,0,1
T019,05-03-2026,Alpha Mart,260000,INR,failed,67,APAC,U008,Wallet,3068,0,0
T020,05-03-2026,Alpha Mart,520000,INR,captured,75,APAC,U005,UPI,6136,1,1
T021,06-03-2026,Beta Stores,330000,INR,captured,63,APAC,U006,Card,3927,0,0
T022,06-03-2026,Alpha Mart,410000,INR,captured,60,APAC,U007,UPI,4879,0,0
T023,01-03-2026,City Pharma,5200,EUR,captured,42,EU,U003,Card,5616,0,0
T024,02-03-2026,Eco Home,6100,EUR,chargeback,65,EU,U004,Card,6649,1,1
T025,03-03-2026,City Pharma,2800,EUR,captured,38,EU,U005,Wallet,3024,0,0
T026,05-03-2026,Eco Home,3300,EUR,failed,44,EU,U006,NetBanking,3597,0,0
T027,01-03-2026,Delta Travels,7200,USD,captured,49,US,U007,Card,7200,1,0
T028,02-03-2026,Delta Travels,3100,USD,captured,41,US,U008,Card,3100,0,0
T029,04-03-2026,Delta Travels,2500,USD,chargeback,58,US,U009,Wallet,2500,0,1
T030,06-03-2026,Delta Travels,1800,USD,failed,47,US,U010,UPI,1800,0,0
